Location Name,Lat,Long,Datetime,Parameter,Member,Value
rail,54.28125,-1.546875,2022-07-10T10:00:00,air_temperature,23,294.97424
rail,54.28125,-1.265625,2022-07-10T10:00:00,air_temperature,23,295.42224
rail,54.46875,-1.546875,2022-07-10T10:00:00,air_temperature,23,294.97424
rail,54.65625,-1.546875,2022-07-10T10:00:00,air_temperature,23,294.55826
rail,54.84375,-1.546875,2022-07-10T10:00:00,air_temperature,23,293.24625
rail,55.03125,-1.546875,2022-07-10T10:00:00,air_temperature,23,286.87823
rail,55.21875,-1.546875,2022-07-10T10:00:00,air_temperature,23,294.43024
rail,55.40625,-1.828125,2022-07-10T10:00:00,air_temperature,23,294.68625
rail,55.40625,-1.546875,2022-07-10T10:00:00,air_temperature,23,287.90225
rail,55.59375,-1.828125,2022-07-10T10:00:00,air_temperature,23,294.55826
rail,55.78125,-2.390625,2022-07-10T10:00:00,air_temperature,23,293.18225
rail,55.78125,-2.109375,2022-07-10T10:00:00,air_temperature,23,293.79025
rail,55.78125,-1.828125,2022-07-10T10:00:00,air_temperature,23,289.50226
rail,55.96875,-3.234375,2022-07-10T10:00:00,air_temperature,23,292.06226
rail,55.96875,-2.953125,2022-07-10T10:00:00,air_temperature,23,292.63824
rail,55.96875,-2.671875,2022-07-10T10:00:00,air_temperature,23,287.45425
rail,55.96875,-2.390625,2022-07-10T10:00:00,air_temperature,23,287.99826
rail,51.65625,-0.140625,2022-07-10T11:00:00,air_temperature,23,295.39062
rail,51.84375,-0.140625,2022-07-10T11:00:00,air_temperature,23,295.29688
rail,52.03125,-0.140625,2022-07-10T11:00:00,air_temperature,23,295.85938
rail,52.21875,-0.421875,2022-07-10T11:00:00,air_temperature,23,296.26562
rail,52.21875,-0.140625,2022-07-10T11:00:00,air_temperature,23,296.79688
rail,52.40625,-0.140625,2022-07-10T11:00:00,air_temperature,23,297.14062
rail,52.59375,-0.421875,2022-07-10T11:00:00,air_temperature,23,296.60938
rail,52.59375,-0.140625,2022-07-10T11:00:00,air_temperature,23,296.82812
rail,52.78125,-0.703125,2022-07-10T11:00:00,air_temperature,23,296.48438
rail,52.78125,-0.421875,2022-07-10T11:00:00,air_temperature,23,297.04688
rail,52.96875,-0.703125,2022-07-10T11:00:00,air_temperature,23,296.48438
rail,53.15625,-0.984375,2022-07-10T11:00:00,air_temperature,23,295.73438
rail,53.15625,-0.703125,2022-07-10T11:00:00,air_temperature,23,295.95312
rail,53.34375,-0.984375,2022-07-10T11:00:00,air_temperature,23,296.14062
rail,53.53125,-0.984375,2022-07-10T11:00:00,air_temperature,23,296.29688
rail,53.71875,-1.265625,2022-07-10T11:00:00,air_temperature,23,296.45312
rail,53.71875,-0.984375,2022-07-10T11:00:00,air_temperature,23,296.48438
rail,53.90625,-1.265625,2022-07-10T11:00:00,air_temperature,23,296.67188
rail,53.90625,-0.984375,2022-07-10T11:00:00,air_temperature,23,296.07812
rail,54.09375,-1.265625,2022-07-10T11:00:00,air_temperature,23,296.54688
